month,active_regime_id,snapshot_count,month_snapshot_count,occupancy_rate,ood_rate,regime_label
2025-08,0,4464,4464,1.0,0.06742831541218638,R0
2025-09,0,3677,4320,0.8511574074074074,0.13541666666666666,R0
2025-09,1,643,4320,0.14884259259259258,0.13541666666666666,R1
2025-10,0,1400,4464,0.31362007168458783,0.19959677419354838,R0
2025-10,1,3064,4464,0.6863799283154122,0.19959677419354838,R1
2025-11,1,3170,4320,0.7337962962962963,0.5041666666666667,R1
2025-11,3,1150,4320,0.2662037037037037,0.5041666666666667,R3
2025-12,2,196,4464,0.04390681003584229,0.17562724014336917,R2
2025-12,3,4268,4464,0.9560931899641577,0.17562724014336917,R3
2026-01,2,4243,4464,0.9504928315412187,0.027777777777777776,R2
2026-01,3,221,4464,0.049507168458781364,0.027777777777777776,R3
2026-02,2,4032,4032,1.0,0.005952380952380952,R2
2026-03,2,4464,4464,1.0,0.1335125448028674,R2
2026-04,2,1872,1872,1.0,0.11645299145299146,R2
