regime_id,regime_label,reference_occupancy,post_occupancy,delta_percentage_points,migration_ratio,reference_snapshots,post_snapshots
0,R0,0.3697488761432336,0.0,-36.97488761432336,2.704530993845743e-06,25804,10053
1,R1,0.26650906836149435,0.0,-26.650906836149435,3.7522034576329767e-06,25804,10053
2,R2,0.14521004495427065,1.0,85.47899550457294,6.886535389335686,25804,10053
3,R3,0.21853201054100138,0.0,-21.85320105410014,4.5759677108936315e-06,25804,10053
