train,DO_1_1,DO_1_2,DO_1_3,DO_1_4,ORP_1_1,ORP_1_2,ORP_1_3,DO_2_1,DO_2_2,DO_2_3,DO_2_4,ORP_2_1,ORP_2_2,ORP_2_3
1,0.832,1.338,2.009,0.024,-219.921,-193.138,-211.566,,,,,,,
2,,,,,,,,1.009,1.211,3.235,0.235,-202.352,-297.892,-332.838
