position,route,n_sensor_minutes,n_calendar_days,n_sensors,frozen_alpha,alpha,median,mad_scale,p99,relative_change_pct,production_status
1,published_screened_reference,62452,146,2,0.2789373305,0.2789373304802013,0.08934481980729464,0.031751235000987484,0.2789373304802013,-7.0979111477242895e-09,audit_only_not_promoted
1,neutral_candidate_pre_support_audit,521616,183,2,0.2789373305,0.346309197693562,0.07486961106925107,0.034730130292713254,0.346309197693562,24.15304795266977,audit_only_not_promoted
1,neutral_plus_D1D2_screen_sensitivity,62448,146,2,0.2789373305,0.2789393761490636,0.08934851319998983,0.03174577405076382,0.2789393761490636,0.0007333722811253551,audit_only_not_promoted
2,published_screened_reference,113862,172,2,0.3100300303,0.3100300303258874,0.11670897103041197,0.04615703241961065,0.3100300303258874,8.34996516374531e-09,audit_only_not_promoted
2,neutral_candidate_pre_support_audit,521638,183,2,0.3100300303,0.3715401267684297,0.11171813431146425,0.04219250025599733,0.3715401267684297,19.840044659193047,audit_only_not_promoted
2,neutral_plus_D1D2_screen_sensitivity,113862,172,2,0.3100300303,0.3100300303258874,0.11670897103041197,0.04615703241961065,0.3100300303258874,8.34996516374531e-09,audit_only_not_promoted
3,published_screened_reference,120644,179,2,0.5065765789,0.5065765789063522,0.1914524571366415,0.08213284307156123,0.5065765789063522,1.2539524973931293e-09,audit_only_not_promoted
3,neutral_candidate_pre_support_audit,521647,183,2,0.5065765789,0.6812691743802426,0.2548614434104426,0.14213591032326667,0.5439743204007743,34.484933326285415,audit_only_not_promoted
3,neutral_plus_D1D2_screen_sensitivity,120644,179,2,0.5065765789,0.5065765789063522,0.1914524571366415,0.08213284307156123,0.5065765789063522,1.2539524973931293e-09,audit_only_not_promoted
