sensor_id,n_episodes,n_completed,n_right_censored,n_direct_recovery,n_adapted_recovery,n_recovered,event_recovery_rate,event_recovery_rate_ci95_low,event_recovery_rate_ci95_high,median_recovery_h,candidate_episode_count,candidate_attempt_count,candidate_reached_recovered_count,candidate_attempt_confirmation_rate,candidate_attempt_adapted_rate,candidate_conversion_rate,candidate_max_contiguous_h,recovered_state_occupancy,candidate_state_occupancy,relapse_rate_24h,relapse_rate_48h,relapse_rate_72h,variant,selected_for_production,run_id,algorithm_version,n_transitions,mean_candidate_entries_per_candidate_episode
Overall,21,19,2,14,4,18,0.9473684210526315,0.7536078466345479,0.99064824750947,48.0,4,14,4,0.2857142857142857,0.2857142857142857,1.0,11.0,4.654843364520784e-05,0.000861146022436345,0.0,0.0,0.0,A_legacy_gate_corrected_engine,False,d1-final-ab36d51d4f60,1.3.0-final-candidate,81,3.5
Overall,24,23,1,14,8,22,0.9565217391304348,0.7900841350594088,0.9922835330378734,48.0,9,26,8,0.3076923076923077,0.3076923076923077,0.8888888888888888,11.0,9.309686729041568e-05,0.0018852115626309175,0.0,0.045454545454545456,0.045454545454545456,B_remove_duplicate_W1,False,d1-final-ab36d51d4f60,1.3.0-final-candidate,117,2.888888888888889
Overall,22,22,0,15,6,21,0.9545454545454546,0.7820151050048196,0.9919307806988522,53.0,6,39,13,0.3333333333333333,0.15384615384615385,1.0,11.0,0.002071405297211749,0.002862728669180282,0.0,0.0,0.0,C_tolerant_3h_retry12h,True,d1-final-ab36d51d4f60,1.3.0-final-candidate,142,6.5
Overall,22,22,0,14,7,21,0.9545454545454546,0.7820151050048196,0.9919307806988522,53.0,7,22,14,0.6363636363636364,0.3181818181818182,1.0,8.0,0.0025950751757203372,0.001419727226178839,0.047619047619047616,0.047619047619047616,0.047619047619047616,D_hysteresis_6h_retry24h,False,d1-final-ab36d51d4f60,1.3.0-final-candidate,110,3.142857142857143
